"","Date","Price","bing_score","nrc_score.x","Afinn_score.x","Price2"
"1",2009-05-04,-3.26456477039068,4,1,4,-8.12102222657397
"2",2009-05-08,-2.88622344071282,2,0,2,-5.90502300988935
"3",2009-05-12,-2.81768334475668,1,1,-2,-5.50357387643199
"4",2009-05-13,-2.77381768334476,2,1,2,-5.24664643101929
"5",2009-05-14,-2.854694996573,1,2,2,-5.72035640849897
"6",2009-05-15,-2.84372858122001,1,1,2,-5.65612454714579
"7",2009-05-16,-2.84372858122001,1,0,0,-5.65612454714579
"8",2009-05-17,-2.84372858122001,-1,1,3,-5.65612454714579
"9",2009-05-18,-2.81905414667581,3,1,4,-5.51160285910115
"10",2009-05-19,-2.73543522960932,0,0,0,-5.02183491628316
"11",2009-05-20,-2.46401644962303,2,0,6,-3.43209634779203
"12",2009-05-22,-2.51884852638794,3,1,1,-3.75325565455791
"13",2009-05-23,-2.51884852638794,1,0,0,-3.75325565455791
"14",2009-05-26,-2.47087045921864,1,0,2,-3.47224126113776
"15",2009-05-27,-2.16518163125428,2,1,2,-1.68177812591794
"16",2009-05-28,-1.86497601096641,1,1,0,0.0765690786252833
"17",2009-06-03,-1.49760109664153,1,0,0,2.22833643395673
"18",2009-06-05,-1.27553118574366,1,0,-3,3.52903162635856
"19",2009-06-08,-1.29746401644962,1,1,2,3.4005679036522
"20",2009-06-14,-1.29746401644962,1,1,1,3.4005679036522
"21",2009-06-15,-1.17683344756683,2,2,5,4.10711837853715
"22",2009-06-18,-0.975325565455792,0,0,0,5.28737883090179
"23",2009-06-21,-0.975325565455792,2,2,4,5.28737883090179
"24",2009-06-23,-1.46881425633996,1,0,1,2.39694507000881
"25",2009-06-24,-1.17957505140507,2,-1,2,4.09106041319887
